# NAME	TAG	HIDDEN	NORM/PREFER/SKIP	FREQ	TX FREQ	TX MODE	POWER	RX MODE	SQUELCH	CTCSS (tenth Hz)	DCS	FREQ STEP
M001	AB6VS   	N	N	440550000	5000000	+RPT	HI	N-FM	TONE	948	23	25000
M002	WR6ABD  	N	N	146640000	600000	-RPT	HI	N-FM	TONE	1622	23	5000
M003	WA6GFY  	N	N	443775000	5000000	+RPT	HI	N-FM	TONE	1000	23	25000
M004	CARLA10 	N	N	443475000	5000000	+RPT	HI	N-FM	TONE SQL	1230	23	25000
M005	CARLA07 	N	N	443075000	5000000	+RPT	HI	N-FM	TONE SQL	1230	23	25000
M051	H1      	N	N	146420000	600000	SIMP	HI	N-FM	DCS	1000	255	5000
M401	FRS01   	N	N	462562000	5000000	SIMP	L1	N-FM	NONE	1000	23	25000
M402	FRS02   	N	N	462587000	5000000	SIMP	L1	N-FM	NONE	1000	23	25000
M403	FRS03   	N	N	462612500	5000000	SIMP	L1	N-FM	NONE	1000	23	25000
M404	FRS04   	N	N	462637000	5000000	SIMP	L1	N-FM	NONE	1000	23	25000
M405	FRS05   	N	N	462662000	5000000	SIMP	L1	N-FM	NONE	1000	23	25000
M406	FRS06   	N	N	462687000	5000000	SIMP	L1	N-FM	NONE	1000	23	25000
M407	FRS07   	N	N	462712500	5000000	SIMP	L1	N-FM	NONE	1000	23	25000
M408	FRS08   	N	N	467562000	5000000	SIMP	L1	N-FM	NONE	1000	23	25000
M409	FRS09   	N	N	467587000	5000000	SIMP	L1	N-FM	NONE	1000	23	25000
M410	FRS10   	N	N	467612500	5000000	SIMP	L1	N-FM	NONE	1000	23	25000
M411	FRS11   	N	N	467637000	5000000	SIMP	L1	N-FM	NONE	1000	23	25000
M412	FRS12   	N	N	467662000	5000000	SIMP	L1	N-FM	NONE	1000	23	25000
M413	FRS13   	N	N	467687000	5000000	SIMP	L1	N-FM	NONE	1000	23	25000
M414	FRS14   	N	N	467712500	5000000	SIMP	L1	N-FM	NONE	1000	23	25000
M415	MURS1   	N	N	151820000	600000	SIMP	L3	N-FM	NONE	885	23	5000
M416	MURS2   	N	N	151880000	600000	SIMP	L3	N-FM	NONE	885	23	20000
M417	MURS3   	N	N	151940000	600000	SIMP	L3	N-FM	NONE	885	23	20000
M418	MURS4   	N	N	154570000	600000	SIMP	L3	N-FM	NONE	885	23	10000
M419	MURS5   	N	N	154600000	600000	SIMP	L3	N-FM	NONE	885	23	10000
